ID,NET,Instances,Scenarios,W,b,pulse,total,OF
442,DC,DC12,1000,28779,23962,6.99E-04,2.94749647,993
443,DC,DC12,1000,28779,16738,6.04E-04,2.947400996,826
444,DC,DC12,1000,28779,23962,6.92E-04,2.947489067,993
445,DC,DC13,1,1,4.93E-05,0.009263887,1,1
446,DC,DC13,10,46914,35109,0.003344349,0.021447627,1
447,DC,DC13,10,46914,42192,0.002924674,0.021027952,6
448,DC,DC13,10,51291,37298,0.005969962,0.02407324,4
449,DC,DC13,10,51291,45693,0.00952251,0.027625788,9
450,DC,DC13,10,55669,39487,0.004282528,0.022385806,7
451,DC,DC13,10,55669,49196,0.009631252,0.02773453,10
452,DC,DC13,50,50868,36106,0.018629882,0.127904873,5
453,DC,DC13,50,50868,44963,0.01807618,0.127351171,35
454,DC,DC13,50,53268,37306,0.017959126,0.127234117,22
455,DC,DC13,50,53268,46883,0.023729133,0.133004124,48
456,DC,DC13,50,55669,38506,0.057005568,0.166280559,27
457,DC,DC13,50,55669,48804,0.064039214,0.173314205,49
458,DC,DC13,100,54714,36993,0.016459354,0.199944895,38
459,DC,DC13,100,54714,47625,0.120890294,0.304375835,80
460,DC,DC13,100,59021,39146,0.052497314,0.235982855,49
461,DC,DC13,100,59021,51071,0.429553128,0.613038669,93
462,DC,DC13,100,63328,41300,0.055502725,0.238988266,67
463,DC,DC13,100,63328,54516,0.130999611,0.314485152,99
464,DC,DC13,200,56507,37482,0.033734805,0.462637081,84
465,DC,DC13,200,56507,48897,0.244491968,0.673394244,183
466,DC,DC13,200,59917,39187,0.089743669,0.518645945,100
467,DC,DC13,200,59917,51625,0.382044435,0.810946711,193
468,DC,DC13,200,63328,40892,0.06659771,0.495499986,136
469,DC,DC13,200,63328,54353,0.575041521,1.003943797,197
470,DC,DC13,500,59650,39026,0.280026303,1.344793333,227
471,DC,DC13,500,59650,51400,0.994236977,2.059004007,477
472,DC,DC13,500,61489,39946,0.203316553,1.268083583,283
473,DC,DC13,500,61489,52871,1.031896233,2.096663263,489
474,DC,DC13,500,63328,40865,0.163804687,1.228571717,333
475,DC,DC13,500,63328,54343,1.083533243,2.148300273,494
476,DC,DC13,1000,60364,39383,1.39001123,4.35293927,331
477,DC,DC13,1000,60364,51971,1.783720766,4.746648806,923
478,DC,DC13,1000,61846,40124,0.33902542,3.30195346,574
479,DC,DC13,1000,61846,53157,1.346743581,4.309671621,980
480,DC,DC13,1000,63328,40865,0.260621811,3.223549851,671
481,DC,DC13,1000,63328,54343,1.38055102,4.34347906,989
482,DC,DC14,1,1,5.64E-05,0.009316827,1,1
483,DC,DC14,10,46789,33160,0.00949632,0.026899929,0
484,DC,DC14,10,46789,41337,0.009613722,0.027017331,4
485,DC,DC14,10,47840,33686,0.00607633,0.023479939,1
486,DC,DC14,10,47840,42178,0.008636991,0.0260406,6
487,DC,DC14,10,48892,34212,0.009352236,0.026755845,1
488,DC,DC14,10,48892,43020,0.005251296,0.022654905,8
489,DC,DC14,50,54195,36863,0.03743702,0.118504446,5
490,DC,DC14,50,54195,47262,0.054270026,0.135337452,32
491,DC,DC14,50,57969,38750,0.018101322,0.099168748,17
492,DC,DC14,50,57969,50281,0.060108267,0.141175693,46
493,DC,DC14,50,61743,40637,0.009655208,0.090722634,28
494,DC,DC14,50,61743,53300,0.043490095,0.124557521,49
495,DC,DC14,100,54195,36863,0.040032113,0.210020547,14
496,DC,DC14,100,54195,47262,0.053932204,0.223920638,67
497,DC,DC14,100,57969,38750,0.033894112,0.203882546,37
498,DC,DC14,100,57969,50281,0.077320092,0.247308526,94
499,DC,DC14,100,61743,40637,0.025146283,0.195134717,56
500,DC,DC14,100,61743,53300,0.083566207,0.253554641,98
501,DC,DC14,200,55779,37655,0.041194761,0.438645833,74
502,DC,DC14,200,55779,48529,0.077868346,0.475319418,179
503,DC,DC14,200,58761,39146,0.036481522,0.433932594,92
504,DC,DC14,200,58761,50915,0.13594081,0.533391882,191
505,DC,DC14,200,61743,40637,0.046439562,0.443890634,113
506,DC,DC14,200,61743,53300,0.166489386,0.563940458,196
507,DC,DC14,500,60573,40041,0.485724023,1.588613706,152
508,DC,DC14,500,60573,52360,0.814008345,1.916898028,455
509,DC,DC14,500,61158,40334,0.095293326,1.198183009,271
510,DC,DC14,500,61158,52828,0.596637841,1.699527524,479
511,DC,DC14,500,61743,40626,0.088189281,1.191078964,293
512,DC,DC14,500,61743,53296,0.555334268,1.658223951,485
513,DC,DC14,1000,61450,40467,0.251254559,3.160522637,497
514,DC,DC14,1000,61450,53056,0.762884249,3.672152327,963
515,DC,DC14,1000,62853,41168,0.18364387,3.092911948,609
516,DC,DC14,1000,62853,54179,1.338971922,4.24824,973
517,DC,DC14,1000,64257,41870,0.18075335,3.090021428,654
518,DC,DC14,1000,64257,55302,1.551431397,4.460699475,984
519,DC,DC15,1,1,8.99E-05,0.010858082,1,1
520,DC,DC15,10,50275,39192,3.80E-04,0.025020708,2
521,DC,DC15,10,50275,45842,3.63E-04,0.025003667,6
522,DC,DC15,10,53463,40786,0.002444584,0.027085425,3
523,DC,DC15,10,53463,48392,0.003975226,0.028616067,8
524,DC,DC15,10,56651,42380,0.007738413,0.032379254,5
525,DC,DC15,10,56651,50942,6.94E-04,0.025334854,10
526,DC,DC15,50,53121,37010,0.003598293,0.091382565,8
527,DC,DC15,50,53121,46676,0.003790495,0.091574767,38
528,DC,DC15,50,55721,38310,0.013583779,0.101368051,15
529,DC,DC15,50,55721,48756,0.023860295,0.111644567,43
530,DC,DC15,50,58322,39610,0.043103593,0.130887865,19
531,DC,DC15,50,58322,50837,0.043600164,0.131384436,47
532,DC,DC15,100,53121,37010,0.004194527,0.201558577,12
533,DC,DC15,100,53121,46676,0.004029562,0.201393612,75
534,DC,DC15,100,56752,38825,0.041479085,0.238843135,32
535,DC,DC15,100,56752,49581,0.052479855,0.249843905,92
536,DC,DC15,100,60383,40641,0.137382055,0.334746105,48
537,DC,DC15,100,60383,52486,0.080721991,0.278086041,98
538,DC,DC15,200,55386,37866,0.028313166,0.424577077,51
539,DC,DC15,200,55386,48378,0.032733769,0.42899768,173
540,DC,DC15,200,57884,39115,0.187939528,0.584203439,62
541,DC,DC15,200,57884,50376,0.205254509,0.60151842,183
542,DC,DC15,200,60383,40365,0.318007456,0.714271367,84
543,DC,DC15,200,60383,52375,0.355895442,0.752159353,194
544,DC,DC15,500,61646,40004,2.195931466,3.333276576,140
545,DC,DC15,500,61646,52989,3.172196048,4.309541158,457
546,DC,DC15,500,64453,41407,2.529522118,3.666867228,249
547,DC,DC15,500,64453,55234,9.706749462,10.84409457,482
548,DC,DC15,500,67261,42811,5.10141673,6.23876184,296
549,DC,DC15,500,67261,57481,7.502573861,8.639918971,496
550,DC,DC15,1000,61646,39887,1.772887127,4.824791838,274
551,DC,DC15,1000,61646,52942,2.32544681,5.377351521,904
552,DC,DC15,1000,64453,41290,3.291296449,6.34320116,472
553,DC,DC15,1000,64453,55188,14.28126759,17.3331723,964
554,DC,DC15,1000,67261,42694,7.039065858,10.09097057,575
555,DC,DC15,1000,67261,57434,10.9455516,13.99745631,992
556,DC,DC16,1,1,2.38E-05,0.008738051,1,1
557,DC,DC16,10,21896,15653,3.56E-05,0.018149863,5
558,DC,DC16,10,21896,19398,1.83E-05,0.018132542,7
559,DC,DC16,10,21896,15653,1.97E-05,0.01813394,5
560,DC,DC16,10,21896,19398,2.07E-05,0.018134918,7
561,DC,DC16,10,21896,15653,1.68E-05,0.018131075,5
562,DC,DC16,10,21896,19398,1.65E-05,0.018130726,7
563,DC,DC16,50,26640,15450,7.95E-05,0.082705065,15
564,DC,DC16,50,26640,22164,5.37E-05,0.082679293,42
565,DC,DC16,50,26718,15489,5.75E-05,0.082683134,15
566,DC,DC16,50,26718,22226,5.59E-05,0.082681528,42
567,DC,DC16,50,26797,15529,5.45E-05,0.08268013,16
568,DC,DC16,50,26797,22289,4.85E-05,0.082674055,46
569,DC,DC16,100,28202,16231,1.07E-04,0.157756223,39
570,DC,DC16,100,28202,23413,1.21E-04,0.157770262,83
571,DC,DC16,100,29465,16863,1.22E-04,0.157771169,46
572,DC,DC16,100,29465,24424,1.47E-04,0.157795822,91
573,DC,DC16,100,30729,17495,1.39E-04,0.157788001,53
574,DC,DC16,100,30729,25435,1.24E-04,0.157773334,97
575,DC,DC16,200,29711,16986,1.78E-04,0.346683448,86
576,DC,DC16,200,29711,24621,1.82E-04,0.34668722,191
577,DC,DC16,200,30220,17240,1.72E-04,0.346677512,92
578,DC,DC16,200,30220,25028,1.58E-04,0.346663542,195
579,DC,DC16,200,30729,17495,1.69E-04,0.346674228,100
580,DC,DC16,200,30729,25435,1.51E-04,0.346656699,196
581,DC,DC16,500,31184,17722,3.82E-04,1.114123233,286
582,DC,DC16,500,31184,25799,4.81E-04,1.114221919,483
583,DC,DC16,500,31184,17722,3.52E-04,1.114092642,286
584,DC,DC16,500,31184,25799,4.57E-04,1.114198312,483
585,DC,DC16,500,31184,17722,3.37E-04,1.114077697,286
586,DC,DC16,500,31184,25799,4.52E-04,1.114192585,483
587,DC,DC16,1000,33207,18734,0.001149658,2.823279915,483
588,DC,DC16,1000,33207,27417,0.001266013,2.82339627,957
589,DC,DC16,1000,33614,18937,0.001140299,2.823270556,501
590,DC,DC16,1000,33614,27743,0.001474,2.823604257,961
591,DC,DC16,1000,34021,19141,0.001079118,2.823209375,701
592,DC,DC16,1000,34021,28069,0.001266362,2.823396619,984
593,DC,DC17,1,1,5.64E-05,0.011611112,1,1
594,DC,DC17,10,52336,34180,0.00152233,0.019658085,1
595,DC,DC17,10,52336,45073,0.001443619,0.019579374,7
596,DC,DC17,10,54541,35282,9.02E-04,0.019037895,1
597,DC,DC17,10,54541,46837,0.001516323,0.019652078,7
598,DC,DC17,10,56746,36385,2.90E-04,0.018426016,3
599,DC,DC17,10,56746,48601,0.001018775,0.01915453,9
600,DC,DC17,50,60668,38346,0.005532197,0.081501281,5
601,DC,DC17,50,60668,51739,0.026670568,0.102639652,35
602,DC,DC17,50,61954,38989,0.005620617,0.081589701,11
603,DC,DC17,50,61954,52768,0.011595957,0.087565041,45
604,DC,DC17,50,63240,39632,0.001906806,0.07787589,13
605,DC,DC17,50,63240,53796,0.011219024,0.087188108,46
606,DC,DC17,100,61286,38655,0.006973233,0.198107302,9
607,DC,DC17,100,61286,52233,0.036930741,0.22806481,83
608,DC,DC17,100,62263,39143,0.004350903,0.195484972,16
609,DC,DC17,100,62263,53015,0.027937838,0.219071907,87
610,DC,DC17,100,63240,39632,0.003607512,0.194741581,29
611,DC,DC17,100,63240,53796,0.029801623,0.220935692,91
612,DC,DC17,200,62987,39505,0.034747433,0.407899537,41
613,DC,DC17,200,62987,53594,0.085693712,0.458845816,168
614,DC,DC17,200,65639,40831,0.143838743,0.516990847,67
615,DC,DC17,200,65639,55716,0.216717557,0.589869661,184
616,DC,DC17,200,68292,42158,0.256016268,0.629168372,85
617,DC,DC17,200,68292,57838,0.622210993,0.995363097,192
618,DC,DC17,500,67010,41517,0.196434603,1.396800991,125
619,DC,DC17,500,67010,56812,0.409647875,1.610014263,452
620,DC,DC17,500,71890,43957,0.164367609,1.364733997,212
621,DC,DC17,500,71890,60716,1.548189784,2.748556172,484
622,DC,DC17,500,76770,46397,0.208973068,1.409339456,315
623,DC,DC17,500,76770,64620,2.205956553,3.406322941,498
624,DC,DC17,1000,73104,44564,0.767228028,3.531081115,220
625,DC,DC17,1000,73104,61688,6.831462868,9.595315955,929
626,DC,DC17,1000,74937,45480,0.316914929,3.080768016,500
627,DC,DC17,1000,74937,63154,4.736115973,7.49996906,980
628,DC,DC17,1000,76770,46397,0.366784605,3.130637692,610
629,DC,DC17,1000,76770,64620,4.378123616,7.141976703,990
630,DC,DC18,1,1,7.14E-05,0.010028229,1,1
631,DC,DC18,10,39536,27037,0.003302655,0.021016359,0
632,DC,DC18,10,39536,34536,0.004252845,0.021966549,4
633,DC,DC18,10,41742,28140,0.003351613,0.021065317,3
634,DC,DC18,10,41742,36301,0.004059384,0.021773088,8
635,DC,DC18,10,43949,29243,0.001340883,0.019054587,3
636,DC,DC18,10,43949,38066,0.003575944,0.021289648,9
637,DC,DC18,50,44952,29745,0.003578947,0.089582545,12
638,DC,DC18,50,44952,38869,0.006131436,0.092135034,34
639,DC,DC18,50,46779,30658,0.010280567,0.096284165,13
640,DC,DC18,50,46779,40330,0.009703328,0.095706926,41
641,DC,DC18,50,48607,31572,0.005789492,0.09179309,21
642,DC,DC18,50,48607,41793,0.015142079,0.101145677,44
643,DC,DC18,100,47198,30868,0.006938032,0.182866885,35
644,DC,DC18,100,47198,40666,0.007974267,0.18390312,76
645,DC,DC18,100,49975,32256,0.009969354,0.185898207,45
646,DC,DC18,100,49975,42887,0.026009311,0.201938164,90
647,DC,DC18,100,52752,33645,0.007459747,0.1833886,51
648,DC,DC18,100,52752,45109,0.040635681,0.216564534,97
649,DC,DC18,200,50248,32393,0.031813889,0.472437139,74
650,DC,DC18,200,50248,43106,0.035770468,0.476393718,175
651,DC,DC18,200,53108,33823,0.028941108,0.469564358,96
652,DC,DC18,200,53108,45394,0.092523631,0.533146881,188
653,DC,DC18,200,55968,35253,0.030336467,0.470959717,115
654,DC,DC18,200,55968,47682,0.095462691,0.536085941,195
655,DC,DC18,500,53931,34234,0.137001771,1.164091108,197
656,DC,DC18,500,53931,46052,0.137179516,1.164268853,454
657,DC,DC18,500,55699,35118,0.156604401,1.183693738,255
658,DC,DC18,500,55699,47466,0.26415997,1.291249307,483
659,DC,DC18,500,57468,36003,0.179107191,1.206196528,303
660,DC,DC18,500,57468,48882,0.446940114,1.474029451,492
661,DC,DC18,1000,56553,35545,0.187350766,3.201650698,472
662,DC,DC18,1000,56553,48150,0.293983803,3.308283735,957
663,DC,DC18,1000,57010,35774,0.198321994,3.212621926,551
664,DC,DC18,1000,57010,48515,0.330512258,3.34481219,965
665,DC,DC18,1000,57468,36003,0.231868995,3.246168927,602
666,DC,DC18,1000,57468,48882,0.337258576,3.351558508,977
667,DC,DC19,1,1,4.92E-05,0.009438211,1,1
668,DC,DC19,10,44975,34063,6.32E-04,0.018015348,1
669,DC,DC19,10,44975,40610,7.29E-04,0.018112079,5
670,DC,DC19,10,45555,34353,7.73E-04,0.018156148,1
671,DC,DC19,10,45555,41074,9.19E-04,0.018301976,5
672,DC,DC19,10,46136,34644,4.03E-04,0.017786059,3
673,DC,DC19,10,46136,41539,7.14E-04,0.018097062,7
674,DC,DC19,50,53375,35439,0.011195626,0.092440031,9
675,DC,DC19,50,53375,46200,0.015906211,0.097150616,36
676,DC,DC19,50,55250,36376,0.022063768,0.103308173,11
677,DC,DC19,50,55250,47700,0.026290981,0.107535386,41
678,DC,DC19,50,57125,37314,0.006211544,0.087455949,21
679,DC,DC19,50,57125,49200,0.006395924,0.087640329,48
680,DC,DC19,100,55777,36640,0.01784752,0.2036124,39
681,DC,DC19,100,55777,48122,0.025010092,0.210774972,92
682,DC,DC19,100,56451,36977,0.023943756,0.209708636,40
683,DC,DC19,100,56451,48661,0.024986766,0.210751646,94
684,DC,DC19,100,57125,37314,0.014483474,0.200248354,45
685,DC,DC19,100,57125,49200,0.022398168,0.208163048,95
686,DC,DC19,200,60642,39072,0.205915487,0.581285121,48
687,DC,DC19,200,60642,52014,0.300381683,0.675751317,155
688,DC,DC19,200,67790,42646,0.274375305,0.649744939,125
689,DC,DC19,200,67790,57732,0.285463655,0.660833289,198
690,DC,DC19,200,74938,46220,0.119398136,0.49476777,175
691,DC,DC19,200,74938,63451,0.00133292,0.376702554,200
692,DC,DC19,500,63018,40175,0.79834986,1.814025945,128
693,DC,DC19,500,63018,53880,0.943347619,1.959023704,439
694,DC,DC19,500,68978,43155,0.580644537,1.596320622,334
695,DC,DC19,500,68978,58648,1.460487786,2.476163871,495
696,DC,DC19,500,74938,46135,0.241596419,1.257272504,447
697,DC,DC19,500,74938,63416,0.10376235,1.119438435,500
698,DC,DC19,1000,63555,38953,0.703671417,3.424590067,276
699,DC,DC19,1000,63555,53714,0.791850012,3.512768662,911
700,DC,DC19,1000,69246,41799,0.877057559,3.597976209,582
701,DC,DC19,1000,69246,58267,4.236769129,6.957687779,984
702,DC,DC19,1000,74938,44645,0.336399668,3.057318318,859
703,DC,DC19,1000,74938,62820,0.804238318,3.525156968,999
704,DC,DC20,1,1,5.80E-05,0.011585201,1,1
705,DC,DC20,10,42403,30352,3.92E-04,0.024053614,1
706,DC,DC20,10,42403,37582,4.32E-04,0.024093074,5
707,DC,DC20,10,48795,33548,9.95E-04,0.024656555,4
708,DC,DC20,10,48795,42696,5.41E-04,0.024202866,10
709,DC,DC20,10,55188,36745,1.15E-04,0.023776415,9
710,DC,DC20,10,55188,47810,4.45E-04,0.024106344,10
711,DC,DC20,50,48237,33269,0.001683244,0.087159122,8
712,DC,DC20,50,48237,42250,0.001466877,0.086942755,39
713,DC,DC20,50,51712,35007,0.006895849,0.092371727,14
714,DC,DC20,50,51712,45030,0.003848184,0.089324062,46
715,DC,DC20,50,55188,36745,4.19E-04,0.085894926,41
716,DC,DC20,50,55188,47810,9.01E-04,0.08637662,49
717,DC,DC20,100,51838,33376,0.001228299,0.180169268,36
718,DC,DC20,100,51838,44453,0.003081747,0.182022716,89
719,DC,DC20,100,53513,34214,4.55E-04,0.179396054,70
720,DC,DC20,100,53513,45793,0.001044057,0.179985026,98
721,DC,DC20,100,55188,35051,5.40E-04,0.179480913,79
722,DC,DC20,100,55188,47133,0.001859245,0.180800214,98
723,DC,DC20,200,52391,33653,9.81E-04,0.462165302,118
724,DC,DC20,200,52391,44895,0.004816324,0.466000776,186
725,DC,DC20,200,53789,34352,9.96E-04,0.462180669,147
726,DC,DC20,200,53789,46014,0.003031042,0.464215494,196
727,DC,DC20,200,55188,35051,0.001428044,0.462612496,163
728,DC,DC20,200,55188,47133,0.004694102,0.465878554,196
729,DC,DC20,500,52391,33653,0.001908622,1.298316685,294
730,DC,DC20,500,52391,44895,0.008399671,1.304807734,476
731,DC,DC20,500,53789,34352,0.001605301,1.298013364,361
732,DC,DC20,500,53789,46014,0.00480983,1.301217893,491
733,DC,DC20,500,55188,35051,0.001763492,1.298171555,406
734,DC,DC20,500,55188,47133,0.007267543,1.303675606,492
735,DC,DC20,1000,54295,33813,0.004654921,2.793018386,576
736,DC,DC20,1000,54295,46102,0.012907227,2.801270692,966
737,DC,DC20,1000,54741,34036,0.003771987,2.792135452,693
738,DC,DC20,1000,54741,46459,0.013141125,2.80150459,981
739,DC,DC20,1000,55188,34259,0.002905467,2.791268932,773
740,DC,DC20,1000,55188,46816,0.011249754,2.799613219,983
741,DC,DC21,1,1,6.50E-05,0.010150173,1,1
742,DC,DC21,10,39739,31187,2.97E-04,0.01817787,1
743,DC,DC21,10,39739,36318,2.49E-04,0.018129679,4
744,DC,DC21,10,40794,31715,6.16E-04,0.018496485,1
745,DC,DC21,10,40794,37162,4.49E-04,0.018330053,4
746,DC,DC21,10,41849,32242,6.93E-04,0.018574009,2
747,DC,DC21,10,41849,38006,3.64E-04,0.018244218,7
748,DC,DC21,50,44353,31557,8.28E-04,0.082881343,4
749,DC,DC21,50,44353,39234,0.001014236,0.08306789,27
750,DC,DC21,50,45400,32080,0.001065359,0.083119013,10
751,DC,DC21,50,45400,40072,0.00136854,0.083422194,39
752,DC,DC21,50,46448,32604,0.001208254,0.083261908,14
753,DC,DC21,50,46448,40910,9.34E-04,0.082987293,44
754,DC,DC21,100,46448,32604,0.001543353,0.176398047,27
755,DC,DC21,100,46448,40910,0.001477562,0.176332256,84
756,DC,DC21,100,46448,32604,0.001450534,0.176305228,27
757,DC,DC21,100,46448,40910,0.001619899,0.176474593,84
758,DC,DC21,100,46448,32604,0.001449556,0.17630425,27
759,DC,DC21,100,46448,40910,0.001547264,0.176401958,84
760,DC,DC21,200,51963,35362,0.012455982,0.359224426,44
761,DC,DC21,200,51963,45322,0.012942007,0.359710451,170
762,DC,DC21,200,52650,35705,0.004900484,0.351668928,96
763,DC,DC21,200,52650,45872,0.008027347,0.354795791,190
764,DC,DC21,200,53338,36049,0.004154997,0.350923441,112
765,DC,DC21,200,53338,46422,0.005986167,0.352754611,194
766,DC,DC21,500,53093,33633,0.009287703,1.078225166,152
767,DC,DC21,500,53093,45309,0.012692045,1.081629508,466
768,DC,DC21,500,55038,34606,0.015983456,1.084920919,185
769,DC,DC21,500,55038,46865,0.033174468,1.102111931,477
770,DC,DC21,500,56984,35579,0.010908649,1.079846112,253
771,DC,DC21,500,56984,48422,0.03539563,1.104333093,484
772,DC,DC21,1000,57904,36039,0.055169722,3.084558234,366
773,DC,DC21,1000,57904,49158,0.08011507,3.109503582,960
774,DC,DC21,1000,61496,37835,0.043288253,3.072676765,604
775,DC,DC21,1000,61496,52031,0.086994226,3.116382738,990
776,DC,DC21,1000,65089,39631,0.035549978,3.06493849,742
777,DC,DC21,1000,65089,54906,0.085681351,3.115069863,997
778,DC,DC22,1,1,5.59E-05,0.00986515,1,1
779,DC,DC22,10,47561,37072,0.004552325,0.022940695,1
780,DC,DC22,10,47561,43365,0.004493168,0.022881538,4
781,DC,DC22,10,48996,37790,0.001414425,0.019802795,4
782,DC,DC22,10,48996,44513,0.00210753,0.0204959,8
783,DC,DC22,10,50431,38507,0.001809867,0.020198237,5
784,DC,DC22,10,50431,45661,0.001901777,0.020290147,9
785,DC,DC22,50,53545,39493,0.017403678,0.10119694,7
786,DC,DC22,50,53545,47924,0.01192449,0.095717752,34
787,DC,DC22,50,55524,40482,0.02643248,0.110225742,14
788,DC,DC22,50,55524,49507,0.029900518,0.11369378,43
789,DC,DC22,50,57504,41472,0.021299216,0.105092478,23
790,DC,DC22,50,57504,51091,0.036389193,0.120182455,47
791,DC,DC22,100,55839,40247,0.030078683,0.20748475,33
792,DC,DC22,100,55839,49602,0.030631617,0.208037684,88
793,DC,DC22,100,56671,40663,0.050016063,0.22742213,35
794,DC,DC22,100,56671,50267,0.0490936,0.226499667,89
795,DC,DC22,100,57504,41079,0.06309517,0.240501237,41
796,DC,DC22,100,57504,50934,0.073530504,0.250936571,91
797,DC,DC22,200,59196,41360,0.097185326,0.440817269,93
798,DC,DC22,200,59196,52061,0.116354803,0.459986746,186
799,DC,DC22,200,59196,41360,0.096717809,0.440349752,93
800,DC,DC22,200,59196,52061,0.114838688,0.458470631,186
801,DC,DC22,200,59196,41360,0.097442552,0.441074495,93
802,DC,DC22,200,59196,52061,0.11591585,0.459547793,186
803,DC,DC22,500,63036,42758,0.540045731,1.635487609,206
804,DC,DC22,500,63036,54925,0.64313118,1.738573058,473
805,DC,DC22,500,63785,43133,0.713233666,1.808675544,263
806,DC,DC22,500,63785,55524,0.83686509,1.932306968,485
807,DC,DC22,500,64534,43507,0.33711631,1.432558188,291
808,DC,DC22,500,64534,56123,1.041482158,2.136924036,488
809,DC,DC22,1000,64471,42207,0.509993169,3.042717719,425
810,DC,DC22,1000,64471,55565,0.662726548,3.195451098,957
811,DC,DC22,1000,65367,42655,0.957942629,3.490667179,447
812,DC,DC22,1000,65367,56282,1.129630582,3.662355132,965
813,DC,DC22,1000,66264,43103,1.489420933,4.022145483,553
814,DC,DC22,1000,66264,56999,1.766626275,4.299350825,974
815,DC,DC23,1,1,5.48E-05,0.009441354,1,1
816,DC,DC23,10,33944,23115,0.001323283,0.023104891,1
817,DC,DC23,10,33944,29612,0.001294298,0.023075906,3
818,DC,DC23,10,35580,23933,0.00153546,0.023317068,2
819,DC,DC23,10,35580,30921,0.002116889,0.023898497,7
820,DC,DC23,10,37217,24752,0.002513378,0.024294986,2
821,DC,DC23,10,37217,32231,0.002236597,0.024018205,8
822,DC,DC23,50,39861,26074,0.014939608,0.111639887,1
823,DC,DC23,50,39861,34346,0.013695456,0.110395735,32
824,DC,DC23,50,42736,27511,0.022381126,0.119081405,16
825,DC,DC23,50,42736,36646,0.02780549,0.124505769,45
826,DC,DC23,50,45612,28949,0.026579426,0.123279705,22
827,DC,DC23,50,45612,38947,0.034116557,0.130816836,48
828,DC,DC23,100,42132,27209,0.018553964,0.220374307,24
829,DC,DC23,100,42132,36163,0.029392563,0.231212906,76
830,DC,DC23,100,43872,28079,0.030918594,0.232738937,32
831,DC,DC23,100,43872,37555,0.062091271,0.263911614,88
832,DC,DC23,100,45612,28949,0.041988367,0.24380871,42
833,DC,DC23,100,45612,38947,0.065950491,0.267770834,95
834,DC,DC23,200,44137,28212,0.036248391,0.457856305,20
835,DC,DC23,200,44137,37767,0.033156168,0.454764082,166
836,DC,DC23,200,45169,28728,0.052419302,0.474027216,56
837,DC,DC23,200,45169,38592,0.054158699,0.475766613,183
838,DC,DC23,200,46202,29244,0.078441882,0.500049796,70
839,DC,DC23,200,46202,39419,0.102249727,0.523857641,186
840,DC,DC23,500,46408,29347,0.066002524,1.333118665,186
841,DC,DC23,500,46408,39583,0.127995178,1.395111319,461
842,DC,DC23,500,46408,29347,0.070092008,1.337208149,186
843,DC,DC23,500,46408,39583,0.088828538,1.355944679,461
844,DC,DC23,500,46408,29347,0.072202263,1.339318404,186
845,DC,DC23,500,46408,39583,0.095152597,1.362268738,461
846,DC,DC23,1000,47005,29017,0.085342899,2.759549676,334
847,DC,DC23,1000,47005,39810,0.136747687,2.810954464,929
848,DC,DC23,1000,48257,29643,0.163471195,2.837677972,375
849,DC,DC23,1000,48257,40811,0.276041788,2.950248565,945
850,DC,DC23,1000,49510,30270,0.273392639,2.947599416,450
851,DC,DC23,1000,49510,41814,0.456637575,3.130844352,961
852,DC,DC24,1,1,6.98E-05,0.010329246,1,1
853,DC,DC24,10,54853,37557,0.053826394,0.074181914,2
854,DC,DC24,10,54853,47934,0.056110833,0.076466353,6
855,DC,DC24,10,60284,40272,0.102645589,0.123001109,8
856,DC,DC24,10,60284,52279,0.110731042,0.131086562,9
857,DC,DC24,10,65716,42988,0.001447809,0.021803329,9
858,DC,DC24,10,65716,56625,0.001305264,0.021660784,10
859,DC,DC24,50,55013,37082,0.082849985,0.163155443,3
860,DC,DC24,50,55013,47840,0.079479724,0.159785182,40
861,DC,DC24,50,60364,39758,0.291184983,0.371490441,26
862,DC,DC24,50,60364,52121,0.137632576,0.217938034,49
863,DC,DC24,50,65716,42434,0.148031663,0.228337121,39
864,DC,DC24,50,65716,56403,0.125760118,0.206065576,50
865,DC,DC24,100,56033,37592,0.184013331,0.372260231,20
866,DC,DC24,100,56033,48656,0.243481433,0.431728333,82
867,DC,DC24,100,60874,40013,0.578641489,0.766888389,50
868,DC,DC24,100,60874,52529,0.695784869,0.884031769,98
869,DC,DC24,100,65716,42434,0.451740165,0.639987065,73
870,DC,DC24,100,65716,56403,0.158465251,0.346712151,100
871,DC,DC24,200,56940,36540,0.33614824,0.701740026,36
872,DC,DC24,200,56940,48780,0.356867354,0.72245914,156
873,DC,DC24,200,61328,38734,1.561281252,1.926873038,77
874,DC,DC24,200,61328,52290,2.978827965,3.344419751,194
875,DC,DC24,200,65716,40928,1.41021708,1.775808866,114
876,DC,DC24,200,65716,55801,1.268007387,1.633599173,199
877,DC,DC24,500,60723,38432,1.774896321,2.846979576,144
878,DC,DC24,500,60723,51806,2.378933286,3.451016541,457
879,DC,DC24,500,63472,39806,3.615263252,4.687346507,228
880,DC,DC24,500,63472,54005,9.036133852,10.10821711,482
881,DC,DC24,500,66222,41181,4.177588632,5.249671887,292
882,DC,DC24,500,66222,56205,14.23744037,15.30952363,492
883,DC,DC24,1000,62734,38904,7.207557037,10.10190988,220
884,DC,DC24,1000,62734,53202,7.52866796,10.4230208,907
885,DC,DC24,1000,68865,41969,10.76269226,13.6570451,577
886,DC,DC24,1000,68865,58106,47.08275954,49.97711239,992
887,DC,DC24,1000,74997,45035,29.50736141,32.40171426,743
