ID,NET,Instances,Scenarios,W,b,pulse,total,OF
106,DC,DC3,1000,59351,36434,0.956406959,3.913907493,222
107,DC,DC3,1000,59351,50184,1.500579892,4.458080426,919
108,DC,DC3,1000,63935,38726,0.265001208,3.222501742,657
109,DC,DC3,1000,63935,53851,2.60307546,5.560575994,988
110,DC,DC3,1000,68520,41019,0.512027087,3.469527621,769
111,DC,DC3,1000,68520,57519,1.576038365,4.533538899,998
112,DC,DC4,1,1,4.83E-05,0.01349138,1,1
113,DC,DC4,10,33848,25851,2.09E-04,0.020324232,1
114,DC,DC4,10,33848,30649,1.41E-04,0.020256344,6
115,DC,DC4,10,33848,25851,1.39E-04,0.020254319,1
116,DC,DC4,10,33848,30649,1.31E-04,0.020246218,6
117,DC,DC4,10,33848,25851,1.24E-04,0.020238745,1
118,DC,DC4,10,33848,30649,1.24E-04,0.020238675,6
119,DC,DC4,50,40518,29186,7.74E-04,0.083317292,21
120,DC,DC4,50,40518,35985,6.56E-04,0.083199191,43
121,DC,DC4,50,43990,30922,0.00108198,0.083625291,30
122,DC,DC4,50,43990,38763,0.001488178,0.084031489,49
123,DC,DC4,50,47463,32659,0.002165778,0.084709089,40
124,DC,DC4,50,47463,41541,0.00296567,0.085508981,50
125,DC,DC4,100,43621,30738,9.07E-04,0.17903358,47
126,DC,DC4,100,43621,38467,0.001740235,0.179866366,86
127,DC,DC4,100,45542,31698,0.001259309,0.17938544,53
128,DC,DC4,100,45542,40004,0.003723029,0.18184916,89
129,DC,DC4,100,47463,32659,0.001616895,0.179743026,79
130,DC,DC4,100,47463,41541,0.004150807,0.182276938,97
131,DC,DC4,200,45013,30112,0.001193378,0.379632258,88
132,DC,DC4,200,45013,39052,0.002366502,0.380805382,178
133,DC,DC4,200,50621,32916,0.003071829,0.381510709,142
134,DC,DC4,200,50621,43539,0.003122464,0.381561344,199
135,DC,DC4,200,56230,35721,0.001611588,0.380050468,177
136,DC,DC4,200,56230,48026,6.92E-04,0.379130447,200
137,DC,DC4,500,48082,31647,0.009738878,1.125644321,222
138,DC,DC4,500,48082,41508,0.013375303,1.129280746,464
139,DC,DC4,500,52156,33684,0.004124197,1.12002964,368
140,DC,DC4,500,52156,44767,0.013145385,1.129050828,495
141,DC,DC4,500,56230,35721,0.005583252,1.121488695,451
142,DC,DC4,500,56230,48026,0.023843462,1.139748905,499
143,DC,DC4,1000,48710,29713,0.009640471,2.841234081,353
144,DC,DC4,1000,48710,41111,0.017606916,2.849200526,945
145,DC,DC4,1000,52470,31593,0.007897372,2.839490982,626
146,DC,DC4,1000,52470,44119,0.018391793,2.849985403,991
147,DC,DC4,1000,56230,33473,0.010301449,2.841895059,827
148,DC,DC4,1000,56230,47127,0.02787086,2.85946447,997
149,DC,DC5,1,1,5.94E-05,0.009719531,1,1
150,DC,DC5,10,40778,31211,3.72E-04,0.022006988,1
151,DC,DC5,10,40778,36951,3.30E-04,0.021965711,5
152,DC,DC5,10,48493,35068,0.001286686,0.022922118,5
153,DC,DC5,10,48493,43123,3.17E-04,0.021952652,10
154,DC,DC5,10,56208,38926,0.0011176,0.022753032,8
155,DC,DC5,10,56208,49295,7.57E-05,0.02171114,10
156,DC,DC5,50,49784,34464,0.001370984,0.09328525,7
157,DC,DC5,50,49784,43656,0.001357925,0.093272191,33
158,DC,DC5,50,52996,36070,0.004137397,0.096051663,23
159,DC,DC5,50,52996,46225,0.005101067,0.097015333,46
160,DC,DC5,50,56208,37676,0.008010656,0.099924922,31
161,DC,DC5,50,56208,48795,0.003799854,0.09571412,49
162,DC,DC5,100,50458,33911,0.002043556,0.195253028,29
163,DC,DC5,100,50458,43839,0.003140623,0.196350095,83
164,DC,DC5,100,53333,35348,0.010862415,0.204071887,37
165,DC,DC5,100,53333,46139,0.005370864,0.198580336,91
166,DC,DC5,100,56208,36786,0.005745493,0.198954965,53
167,DC,DC5,100,56208,48439,0.007177868,0.20038734,97
168,DC,DC5,200,52974,35169,0.00520101,0.451886973,66
169,DC,DC5,200,52974,45852,0.008292604,0.454978567,178
170,DC,DC5,200,54591,35977,0.012251976,0.458937939,73
171,DC,DC5,200,54591,47145,0.009036694,0.455722657,184
172,DC,DC5,200,56208,36786,0.008207886,0.454893849,107
173,DC,DC5,200,56208,48439,0.012098256,0.458784219,191
174,DC,DC5,500,56086,36725,0.015177976,1.216674465,219
175,DC,DC5,500,56086,48341,0.018955343,1.220451832,467
176,DC,DC5,500,56147,36755,0.015601843,1.217098332,219
177,DC,DC5,500,56147,48390,0.019663114,1.221159603,467
178,DC,DC5,500,56208,36786,0.011735919,1.213232408,276
179,DC,DC5,500,56208,48439,0.017739056,1.219235545,480
180,DC,DC5,1000,58943,37672,0.041697478,2.847485015,488
181,DC,DC5,1000,58943,50434,0.076771071,2.882558608,950
182,DC,DC5,1000,59800,38101,0.038610284,2.844397821,575
183,DC,DC5,1000,59800,51120,0.054500014,2.860287551,978
184,DC,DC5,1000,60658,38530,0.04141504,2.847202577,667
185,DC,DC5,1000,60658,51806,0.053359854,2.859147391,987
186,DC,DC6,1,1,5.56E-05,0.010452096,1,1
187,DC,DC6,10,25836,16699,8.84E-05,0.024130861,2
188,DC,DC6,10,25836,22181,7.62E-05,0.024118638,5
189,DC,DC6,10,25972,16767,9.30E-05,0.024135469,2
190,DC,DC6,10,25972,22290,9.27E-05,0.024135121,5
191,DC,DC6,10,26109,16836,7.17E-05,0.024114168,3
192,DC,DC6,10,26109,22399,6.67E-05,0.024109139,7
193,DC,DC6,50,27340,17451,1.23E-04,0.08222763,12
194,DC,DC6,50,27340,23384,1.55E-04,0.082259758,33
195,DC,DC6,50,30697,19130,2.80E-04,0.082385262,19
196,DC,DC6,50,30697,26070,2.43E-04,0.082347897,48
197,DC,DC6,50,34055,20809,1.75E-04,0.082279662,30
198,DC,DC6,50,34055,28756,1.09E-04,0.08221422,50
199,DC,DC6,100,29768,18361,3.59E-04,0.173864135,30
200,DC,DC6,100,29768,25205,2.57E-04,0.173761679,81
201,DC,DC6,100,31911,19433,4.04E-04,0.173908623,40
202,DC,DC6,100,31911,26919,3.09E-04,0.17381406,94
203,DC,DC6,100,34055,20505,2.44E-04,0.173749107,58
204,DC,DC6,100,34055,28635,2.29E-04,0.173733672,99
205,DC,DC6,200,30246,18600,3.85E-04,0.348978641,67
206,DC,DC6,200,30246,25587,3.35E-04,0.348928635,170
207,DC,DC6,200,38522,22738,6.35E-04,0.349228811,150
208,DC,DC6,200,38522,32208,9.92E-05,0.348692851,200
209,DC,DC6,200,46798,26876,5.68E-04,0.349161695,189
210,DC,DC6,200,46798,38829,9.01E-05,0.348683701,200
211,DC,DC6,500,35829,21392,0.001337251,1.057656211,242
212,DC,DC6,500,35829,30054,0.001356737,1.057675697,475
213,DC,DC6,500,41313,24134,0.001373708,1.057692668,395
214,DC,DC6,500,41313,34441,0.00153951,1.05785847,498
215,DC,DC6,500,46798,26876,0.001907644,1.058226604,459
216,DC,DC6,500,46798,38829,1.59E-04,1.056477709,500
217,DC,DC6,1000,38246,22600,0.0032252,2.754814928,531
218,DC,DC6,1000,38246,31987,0.003041098,2.754630826,970
219,DC,DC6,1000,42522,24738,0.002483905,2.754073633,832
220,DC,DC6,1000,42522,35408,0.002887379,2.754477107,997
221,DC,DC6,1000,46798,26876,0.00235393,2.753943658,915
222,DC,DC6,1000,46798,38829,2.52E-04,2.751841436,1000
223,DC,DC7,1,1,3.23E-05,0.009403989,1,1
224,DC,DC7,10,24478,16847,5.71E-05,0.019085736,2
225,DC,DC7,10,24478,21425,5.19E-05,0.019080568,8
226,DC,DC7,10,30358,19787,8.19E-05,0.0191106,7
227,DC,DC7,10,30358,26129,2.62E-05,0.019054867,10
228,DC,DC7,10,36239,22728,5.31E-05,0.019081825,9
229,DC,DC7,10,36239,30834,2.19E-05,0.019050606,10
230,DC,DC7,50,25625,16616,1.00E-04,0.078787177,22
231,DC,DC7,50,25625,22021,7.69E-05,0.078763851,43
232,DC,DC7,50,30932,19269,7.37E-05,0.078760637,36
233,DC,DC7,50,30932,26267,8.56E-05,0.078772511,50
234,DC,DC7,50,36239,21923,8.35E-05,0.078770485,44
235,DC,DC7,50,36239,30512,5.02E-05,0.078737171,50
236,DC,DC7,100,25625,16616,1.17E-04,0.184797719,47
237,DC,DC7,100,25625,22021,9.28E-05,0.184773135,88
238,DC,DC7,100,30932,19269,1.25E-04,0.18480554,72
239,DC,DC7,100,30932,26267,1.06E-04,0.184786823,100
240,DC,DC7,100,36239,21923,1.32E-04,0.184812735,89
241,DC,DC7,100,36239,30512,4.84E-05,0.184728784,100
242,DC,DC7,200,26656,17131,1.68E-04,0.386261732,102
243,DC,DC7,200,26656,22846,1.37E-04,0.386231212,184
244,DC,DC7,200,31447,19527,2.22E-04,0.386315859,141
245,DC,DC7,200,31447,26679,9.81E-05,0.386191891,200
246,DC,DC7,200,36239,21923,2.01E-04,0.386295187,177
247,DC,DC7,200,36239,30512,6.89E-05,0.386162698,200
248,DC,DC7,500,31793,18746,4.02E-04,1.089482183,309
249,DC,DC7,500,31793,26574,5.17E-04,1.089596653,487
250,DC,DC7,500,34016,19858,5.29E-04,1.089608595,353
251,DC,DC7,500,34016,28352,5.27E-04,1.089606848,495
252,DC,DC7,500,36239,20969,5.56E-04,1.089635484,398
253,DC,DC7,500,36239,30131,6.29E-04,1.089708328,497
254,DC,DC7,1000,33046,19373,6.92E-04,2.849084451,660
255,DC,DC7,1000,33046,27576,5.49E-04,2.848940648,979
256,DC,DC7,1000,35836,20768,8.49E-04,2.849241454,766
257,DC,DC7,1000,35836,29808,0.001312387,2.849704431,991
258,DC,DC7,1000,38627,22163,0.00112249,2.849514534,841
259,DC,DC7,1000,38627,32041,7.48E-04,2.849139695,999
260,DC,DC8,1,1,5.43E-05,0.013686167,1,1
261,DC,DC8,10,32795,23894,6.24E-04,0.019382422,1
262,DC,DC8,10,32795,29234,7.33E-04,0.019491236,7
263,DC,DC8,10,37654,26324,7.07E-04,0.019465533,5
264,DC,DC8,10,37654,33122,3.29E-04,0.019087552,10
265,DC,DC8,10,42513,28753,9.64E-04,0.019722829,8
266,DC,DC8,10,42513,37009,5.23E-05,0.018810911,10
267,DC,DC8,50,39638,27083,0.003807746,0.083948239,20
268,DC,DC8,50,39638,34616,0.005473461,0.085613954,43
269,DC,DC8,50,41075,27802,0.003250553,0.083391046,27
270,DC,DC8,50,41075,35765,0.004083061,0.084223554,47
271,DC,DC8,50,42513,28521,0.002845683,0.082986176,31
272,DC,DC8,50,42513,36916,0.004511398,0.084651891,48
273,DC,DC8,100,41450,27526,0.012730249,0.196038323,33
274,DC,DC8,100,41450,35880,0.017638694,0.200946768,82
275,DC,DC8,100,41981,27792,0.015190268,0.198498342,36
276,DC,DC8,100,41981,36305,0.019769553,0.203077627,88
277,DC,DC8,100,42513,28058,0.006470376,0.18977845,53
278,DC,DC8,100,42513,36731,0.016471926,0.19978,93
279,DC,DC8,200,42313,26246,0.007748541,0.403563862,82
280,DC,DC8,200,42313,35886,0.015192015,0.411007336,181
281,DC,DC8,200,42413,26296,0.005401385,0.401216706,83
