,"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)"
2,1.0,1500.0,0.0183635,0.0211357,0.051574300000000003,0.070522,0.057693499999999995,0.011646499999999999,0.0007510089879621946,0.0006739047163113388,0.0014524338998155243,0.002490306317615478,0.0027280110886871403,0.001006327674710822,11.4563635,10.5681357,9.239574300000001,9.664522,9.4946935,9.6206465,0.0007510089879623396,0.0006739047163115804,0.0014524338998155135,0.0024903063176154655,0.0027280110886865622,0.00100632767471085
5,2.0,1500.0,2.7798823,3.8724653999999994,1.6956968000000003,7.882968000000001,1.9649866999999996,8.2148687,0.05912903345330627,0.10156910234383945,0.026705498783750316,0.15192234446146075,0.044190501448086485,0.08282021224321455,12.9978823,14.5904654,12.335696800000001,17.538968000000004,11.4179866,19.3868687,0.059129033453306265,0.10156910234383967,0.026705498783750222,0.15192234446146013,0.04419048450917367,0.08282021224321509
8,3.0,1500.0,0.0926524,0.09377749999999999,0.118228,0.1369404,0.0939923,0.15931019999999999,0.008774366127153195,0.007034480052648602,0.013364874493320996,0.005590457985611631,0.004086273310324049,0.0084547066287233,9.404652299999999,9.9377774,9.931227999999999,12.245940399999999,14.281992299999999,9.2533102,0.008774397947691411,0.007034541937231469,0.013364874493321141,0.005590457985611368,0.0040862733103249485,0.008454706628723324
11,4.0,1500.0,0.0283169,0.022261700000000002,0.02672,0.0234383,0.0257563,0.023347699999999996,0.0013670014589929637,0.0003919093007316872,0.001786142833656429,0.0007754125855167546,0.0009046116477988401,0.0008377079907567906,8.965316900000001,10.944261699999998,9.24572,10.102438300000001,9.1817563,10.273347699999999,0.0013670014589932638,0.0003919093007316792,0.0017861428336568054,0.0007754125855170406,0.0009046116477987675,0.0008377079907564759
14,5.0,1500.0,0.6256185999999999,0.5845397999999999,0.8174208000000001,1.0026711000000001,0.7167201,1.0892792999999998,0.005998133972791514,0.013590918167004836,0.007897118050979837,0.023411164902669847,0.009205471204669547,0.02063942253741073,10.6106186,11.6935398,10.8804208,11.674671099999998,11.997720099999999,10.6982793,0.005998133972791567,0.013590918167004947,0.007897118050979842,0.02341116490266977,0.009205471204669413,0.020639422537410527
17,6.0,1500.0,0.4014698,1.6385266,0.4027679,1.6417289,0.4043685,1.6559132,0.013430428658667441,0.05061104524640181,0.011264135361106651,0.014767317107194687,0.008996571881061755,0.041602235529676374,10.448469800000002,12.950526599999998,11.152767900000002,10.4227289,9.623368500000002,10.8119132,0.013430428658667557,0.050611045246401615,0.011264135361106377,0.014767317107194585,0.00899657188106207,0.041602235529676165
20,7.0,1500.0,0.0098069,0.006800200000000001,0.022696599999999994,0.012819,0.013201200000000001,0.0158281,0.00041553137333084976,0.0005404641626519847,0.0012885240652260493,0.0005782208343992227,0.0005984303171167417,0.0009279017488697579,9.0258069,9.381800199999999,9.975696599999997,8.903818999999999,8.670201200000003,9.2028281,0.0004155313733308581,0.0005404641626517589,0.0012885240652258667,0.0005782208343989826,0.0005984303171169675,0.000927901748870013
23,8.0,1500.0,11.6058159,14.5452781,5.272628,16.9621145,9.9437456,25.427577300000003,0.19404300063671454,0.13379539436056856,0.04687363007538942,0.17240598324578046,0.11251331482313082,0.3594092314334268,25.370815900000004,25.4202781,13.773627999999999,29.009114500000003,19.9127456,36.396577300000004,0.19404300063671429,0.13379539436056848,0.046873630075389125,0.17240598324577938,0.11251331482313051,0.3594092314334259
26,10.0,1500.0,76.3449576,729.9611904000001,23.701751799999997,328.3941716,23.247481200000003,447.8859497,1.0658289860719476,4.32573433155543,0.16826772495757997,4.470838431304292,0.4633347921854254,4.751500613147969,87.2979576,739.8201904,37.7637517,342.0661716,35.9974812,460.9179497,1.0658289860719463,4.325734331555408,0.16826768581113158,4.470838431304293,0.4633347921854236,4.75150061314798
29,11.0,1500.0,0.9647685000000001,0.9659867,0.6909957,1.4719442999999999,0.6983218999999999,2.1452731,0.03072579730544929,0.034646186107404206,0.02332910570772533,0.05415867791355731,0.03499966250456327,0.04799241895329819,10.949768500000001,9.340986699999998,11.1759957,10.706944199999999,12.2623219,11.4422731,0.03072579730544954,0.03464618610740408,0.023329105707725492,0.05415872893182708,0.03499966250456369,0.04799241895329792
32,12.0,1500.0,0.2117446,0.5591456,0.3299137,0.9026830999999997,0.2786591,0.5973470999999999,0.00772429709423453,0.010509459275655742,0.01157355285938112,0.03241686613974615,0.012295485788152772,0.02003409262260487,8.8677446,9.043145599999999,12.157913500000001,9.6836831,9.9506591,9.2843471,0.007724297094234209,0.010509459275655768,0.011573337560003043,0.03241686613974625,0.012295485788152798,0.020034092622604503
35,13.0,1500.0,0.165074,0.17245820000000003,0.1823762,0.27053289999999997,0.080214,0.2480413,0.008456534265157198,0.0056818397216238156,0.005827187596850549,0.011137125496384698,0.0031289557718546016,0.005494028982045464,10.571074,10.7354582,8.6973762,9.098532899999999,11.924214,9.388041300000001,0.008456534265157353,0.00568183972162404,0.00582718759685099,0.011137125496384882,0.003128955771854502,0.0054940289820458316
38,14.0,1500.0,0.024702999999999996,0.034453199999999996,0.0433093,0.083623,0.026528000000000003,0.10393,0.0013285860487333473,0.0021752986410554726,0.002767100771164247,0.003612858455879807,0.0028677481293400463,0.006339428961314699,9.868703,10.425453200000002,9.4813093,11.520622999999999,10.042528,8.775929999999999,0.0013285860487334124,0.0021752986410552345,0.0027671007711640386,0.0036128584558798808,0.002867748129340632,0.006339428961314646
41,15.0,1500.0,1.9214647,7.8025254,1.268376,11.9245958,0.8580088,9.511854799999998,0.058760176450173736,0.0742668213316759,0.034785996349105786,0.16907890640552664,0.02366950421862603,0.11116481324072167,11.406464600000001,17.3025254,12.815375999999997,23.7055958,14.0610088,19.2928548,0.05876033747388137,0.07426682133167639,0.034785996349105536,0.16907890640552672,0.023669504218625667,0.11116481324072175
44,16.0,1500.0,0.17543350000000002,0.447615,0.42894419999999994,0.9048852000000001,0.24407779999999998,1.3796637999999999,0.010420462564375711,0.012491140309123993,0.02224138151084845,0.022734035985231,0.008643791989373385,0.05135540345431582,8.7534333,11.635615,9.6939442,9.1708852,10.229077799999999,11.2076638,0.01042055202259246,0.01249114030912352,0.02224138151084861,0.022734035985230838,0.008643791989373175,0.051355403454315766
47,17.0,1500.0,0.09690229999999998,0.0939961,0.059627200000000005,0.085707,0.038666500000000006,0.061123800000000006,0.009604090101502474,0.005526531310163929,0.0027879628883230615,0.0047143208300760445,0.0031495458314564095,0.002115911035726954,9.8469023,9.3279961,9.121626999999998,9.149707000000001,8.9916665,9.4821238,0.009604090101502044,0.0055265313101637474,0.002787609967935478,0.004714320830076122,0.00314954583145626,0.002115911035726935
50,18.0,1500.0,0.2803464,0.3261233,0.3799363,0.44218330000000006,0.35812770000000005,0.5120476999999999,0.013368582200235174,0.015536627169012225,0.00992176777539612,0.015335435921420683,0.026901634366087616,0.02373060059196891,8.999346400000002,9.0131233,9.4739363,13.223183299999999,10.9041277,10.2620477,0.01336858220023511,0.015536627169012523,0.009921767775396067,0.015335435921420669,0.02690163436608758,0.023730600591968812
53,19.0,1500.0,0.30520060000000004,0.7858464,0.3029642,0.6404892,0.3348367,0.8362819,0.02856370223125068,0.037558015061738545,0.013496862991903795,0.03347867315437962,0.013622775880039198,0.02554048171672219,8.7582005,9.7388463,9.2869642,10.390489200000001,11.4288367,11.7262819,0.028563610343115102,0.03755794363986872,0.013496862991904147,0.033478673154379794,0.013622775880039512,0.025540481716722126
56,20.0,1500.0,0.015580700000000003,0.0301985,0.020791300000000002,0.031083099999999995,0.0190878,0.0364607,0.0007628184653710947,0.0021258861812325585,0.0010838860179926669,0.0020753698171115855,0.0007318727576111394,0.002032686839847419,8.702580600000001,8.8741985,10.7557913,10.3270831,9.910087800000001,9.8484607,0.0007626277962123599,0.0021258861812323148,0.00108388601799264,0.002075369817111603,0.0007318727576108102,0.002032686839847074
59,21.0,1500.0,1.2128897999999997,1.4273427,0.6890946,1.3226757,0.7411054,1.4866939,0.04286104500151886,0.03042989213494594,0.03861341408888884,0.049888929807568004,0.02137471412778295,0.03769340555779548,11.7138898,12.209342699999999,10.0330946,10.135675699999998,11.475105399999999,11.3306938,0.042861045001518584,0.03042989213494589,0.03861341408888867,0.04988892980756817,0.021374714127783058,0.037693368741287474
62,22.0,1500.0,0.09553629999999999,0.21278099999999997,0.10505240000000002,0.12136709999999999,0.042583899999999994,0.0702335,0.0074665128116589135,0.011474772909880753,0.012092687829152517,0.005530300864831456,0.0039336504801519906,0.013122693551842,8.3605363,8.728780999999998,8.8080523,7.981367100000002,11.0265839,8.6952335,0.0074665128116588545,0.011474772909880459,0.012092430047577785,0.005530300864831272,0.003933650480151825,0.013122693551842094
65,23.0,1500.0,0.10671470000000002,0.11207070000000001,0.04682889999999999,0.1159394,0.0425294,0.10835900000000001,0.004518307944106709,0.00682164069626134,0.0026938275309801593,0.007747355652091883,0.0016923296369206553,0.0029041987611808603,10.7167146,10.3460707,8.6118289,10.3659394,11.917529400000001,8.843359000000001,0.004518400483946561,0.006821640696261314,0.0026938275309804083,0.007747355652091387,0.001692329636920792,0.0029041987611807345
