"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)",VarCoeff,,,,,,
2,1500,2.7798823,3.8724654,1.6956968,7.882968,1.9649867,8.2148687,0.059129033,0.101569102,0.026705499,0.151922344,0.044190501,0.082820212,12.9978823,14.5904654,12.3356968,17.538968,11.4179866,19.3868687,0.059129033,0.101569102,0.026705499,0.151922344,0.044190485,0.082820212,,,,,,,
3,500,0.0912222,0.0986723,0.1214875,0.1372381,0.0952644,0.1622749,0.003559858,0.007395374,0.00474679,0.004793239,0.004205135,0.011114558,9.4032221,9.9426723,9.9344875,12.2462381,14.2832644,9.2562749,0.003559816,0.007395374,0.00474679,0.004793239,0.004205135,0.011114558,,,,,,,
3,1000,0.0907979,0.0952651,0.1145939,0.137815,0.0937345,0.1637422,0.004358719,0.00701685,0.003484272,0.009347523,0.002513877,0.012292835,9.4027978,9.9392651,9.9275939,12.246815,14.2817345,9.2577422,0.00435878,0.00701685,0.003484272,0.009347523,0.002513877,0.012292835,0.000463562,0.000705973,0.000350968,0.000763262,0.00017602,0.001327844,0.000631271
3,1500,0.0926524,0.0937775,0.118228,0.1369404,0.0939923,0.1593102,0.008774366,0.00703448,0.013364874,0.005590458,0.004086273,0.008454707,9.4046523,9.9377774,9.931228,12.2459404,14.2819923,9.2533102,0.008774398,0.007034542,0.013364874,0.005590458,0.004086273,0.008454707,,,,,,,
4,500,0.0266224,0.0263495,0.0256341,0.0231009,0.0272172,0.0234328,0.001221973,0.011724867,0.001605068,0.000902131,0.001246107,0.001466097,8.9636223,10.9483495,9.2446341,10.1021009,9.1832172,10.2734328,0.001221832,0.011724867,0.001605068,0.000902131,0.001246107,0.001466097,,,,,,,
4,1000,0.0296496,0.0225939,0.0255538,0.0232515,0.0259765,0.0227512,0.005980193,0.001059205,0.000429434,0.000843663,0.000855186,0.00104891,8.9666496,10.9445939,9.2445536,10.1022515,9.1819765,10.2727512,0.005980193,0.001059205,0.000429481,0.000843663,0.000855186,0.00104891,0.000666937,9.67789E-05,4.64577E-05,8.35124E-05,9.31375E-05,0.000102106,0.000181488
4,1500,0.0283169,0.0222617,0.02672,0.0234383,0.0257563,0.0233477,0.001367001,0.000391909,0.001786143,0.000775413,0.000904612,0.000837708,8.9653169,10.9442617,9.24572,10.1024383,9.1817563,10.2733477,0.001367001,0.000391909,0.001786143,0.000775413,0.000904612,0.000837708,,,,,,,
5,500,0.6163958,0.5747788,0.7784671,0.9286007,0.7042598,0.9569905,0.006087375,0.016402375,0.014171723,0.024042175,0.020191514,0.0134721,10.6013957,11.6837788,10.8414671,11.6006007,11.9852598,10.5659905,0.006087278,0.016402375,0.014171723,0.024042175,0.020191514,0.0134721,,,,,,,
5,1000,0.6291929,0.5809317,0.8109647,0.9925133,0.7196929,1.0547576,0.006220256,0.018790935,0.01481027,0.021449055,0.019552585,0.018772705,10.6141929,11.6899317,10.8739647,11.6645133,12.0006929,10.6637576,0.006220256,0.018790935,0.01481027,0.021449055,0.019552585,0.018772705,0.000586032,0.001607446,0.001361994,0.00183883,0.001629288,0.001760421,0.001464002
5,1500,0.6256186,0.5845398,0.8174208,1.0026711,0.7167201,1.0892793,0.005998134,0.013590918,0.007897118,0.023411165,0.009205471,0.020639423,10.6106186,11.6935398,10.8804208,11.6746711,11.9977201,10.6982793,0.005998134,0.013590918,0.007897118,0.023411165,0.009205471,0.020639423,,,,,,,
6,500,0.41119,1.5294803,0.4016682,1.5606616,0.4052967,1.5398639,0.016272473,0.027657695,0.007068517,0.046422532,0.016808003,0.024727954,10.45819,12.8414803,11.1516682,10.3416616,9.6242967,10.6958639,0.016272473,0.027657695,0.007068517,0.046422532,0.016808003,0.024727954,,,,,,,
6,1000,0.4058542,1.6180461,0.4012365,1.6226105,0.4168553,1.6077076,0.010925334,0.027352104,0.008722827,0.022573938,0.022137948,0.024473049,10.4528542,12.930046,11.1512365,10.4036105,9.6358553,10.7637076,0.010925334,0.027351867,0.008722827,0.022573938,0.022137948,0.024473049,0.001045201,0.002115373,0.00078223,0.002169818,0.002297455,0.002273663,0.001780623
6,1500,0.4014698,1.6385266,0.4027679,1.6417289,0.4043685,1.6559132,0.013430429,0.050611045,0.011264135,0.014767317,0.008996572,0.041602236,10.4484698,12.9505266,11.1527679,10.4227289,9.6233685,10.8119132,0.013430429,0.050611045,0.011264135,0.014767317,0.008996572,0.041602236,,,,,,,
7,500,0.0101417,0.0068093,0.0231389,0.0176567,0.0132988,0.0176591,0.000706865,0.000680314,0.00142912,0.01420565,0.000679843,0.001719106,9.0261417,9.3818093,9.9761389,8.9086567,8.6702988,9.2046591,0.000706865,0.000680314,0.00142912,0.01420565,0.000679843,0.001719106,,,,,,,
7,1000,0.0101244,0.0069691,0.0223956,0.0129935,0.0132776,0.0153649,0.000383239,0.001776736,0.000995729,0.00072324,0.000563635,0.000844319,9.0261244,9.3819691,9.9753956,8.9039935,8.6702776,9.2023647,0.000383239,0.001776736,0.000995729,0.00072324,0.000563635,0.000844374,4.24589E-05,0.000189378,9.98185E-05,8.12265E-05,6.50077E-05,9.17562E-05,9.4941E-05
7,1500,0.0098069,0.0068002,0.0226966,0.012819,0.0132012,0.0158281,0.000415531,0.000540464,0.001288524,0.000578221,0.00059843,0.000927902,9.0258069,9.3818002,9.9756966,8.903819,8.6702012,9.2028281,0.000415531,0.000540464,0.001288524,0.000578221,0.00059843,0.000927902,,,,,,,
8,500,9.7273194,11.8492648,4.7403763,12.9025566,8.3428184,18.4041768,0.18263334,0.121718589,0.046797158,0.099871411,0.058793798,0.085912141,23.4923194,22.7242648,13.2413763,24.9495566,18.3118184,29.3731767,0.18263334,0.121718589,0.046797158,0.099871411,0.058793798,0.085912056,,,,,,,
8,1000,11.0016804,13.7800585,5.1381315,15.4823486,9.4782963,22.7031926,0.198344106,0.243824214,0.033713534,0.178861313,0.083667195,0.305345728,24.7666804,24.6550585,13.6391315,27.5293486,19.4472963,33.6721926,0.198344106,0.243824214,0.033713534,0.178861313,0.083667195,0.305345728,0.008008506,0.009889419,0.002471824,0.006497114,0.004302253,0.009068187,0.006706217
8,1500,11.6058159,14.5452781,5.272628,16.9621145,9.9437456,25.4275773,0.194043001,0.133795394,0.04687363,0.172405983,0.112513315,0.359409231,25.3708159,25.4202781,13.773628,29.0091145,19.9127456,36.3965773,0.194043001,0.133795394,0.04687363,0.172405983,0.112513315,0.359409231,,,,,,,
10,500,54.1481792,446.4756189,17.7840556,203.039657,18.0332457,272.1470964,0.998977025,4.353648918,0.37657295,2.166603961,0.28002284,1.221417335,65.1011792,456.3346189,31.8460556,216.711657,30.7832457,285.1790964,0.998977025,4.353648918,0.37657295,2.166603961,0.28002284,1.221417335,,,,,,,
10,1000,67.1654981,591.3836415,21.2390005,266.5517597,21.4209651,360.4882206,1.024450512,4.545222061,0.188193734,1.811252512,0.202886521,1.924961293,78.1184981,601.2426415,35.3010005,280.2237597,34.1709651,373.5202206,1.024450512,4.545222061,0.188193734,1.811252512,0.202886521,1.924961293,0.013114058,0.007559713,0.005331116,0.006463594,0.005937395,0.005153566,0.007259907
10,1500,76.3449576,729.9611904,23.7017518,328.3941716,23.2474812,447.8859497,1.065828986,4.325734332,0.168267725,4.470838431,0.463334792,4.751500613,87.2979576,739.8201904,37.7637517,342.0661716,35.9974812,460.9179497,1.065828986,4.325734332,0.168267686,4.470838431,0.463334792,4.751500613,,,,,,,
11,500,0.963881,0.9712858,0.7026301,1.5102107,0.6931081,2.1567583,0.026294756,0.029661456,0.03389479,0.049312099,0.025986284,0.057372666,10.9488809,9.3462858,11.18763,10.7452107,12.2571081,11.4537583,0.026294485,0.029661456,0.033894874,0.049312099,0.025986284,0.057372666,,,,,,,
11,1000,0.9682856,0.9723219,0.6881626,1.505013,0.6895735,2.1883272,0.036863921,0.029927393,0.026023462,0.035919845,0.014559972,0.060385317,10.9532856,9.3473219,11.1731626,10.740013,12.2535735,11.4853272,0.036863921,0.029927393,0.026023462,0.035919845,0.014559972,0.060385317,0.003365558,0.003201708,0.002329104,0.003344488,0.001188222,0.005257605,0.003114448
11,1500,0.9647685,0.9659867,0.6909957,1.4719443,0.6983219,2.1452731,0.030725797,0.034646186,0.023329106,0.054158678,0.034999663,0.047992419,10.9497685,9.3409867,11.1759957,10.7069442,12.2623219,11.4422731,0.030725797,0.034646186,0.023329106,0.054158729,0.034999663,0.047992419,,,,,,,
12,500,0.2186211,0.5785841,0.3494596,0.8880861,0.2753576,0.6043818,0.007988646,0.031186663,0.016249401,0.029347229,0.010506827,0.019296468,8.8746211,9.0625841,12.1774596,9.6690861,9.9473576,9.2913818,0.007988646,0.031186663,0.016249401,0.029347229,0.010506827,0.019296468,,,,,,,
12,1000,0.2319679,0.585579,0.3432929,0.8858283,0.2738865,0.6001603,0.011225143,0.021697997,0.011683343,0.023187438,0.008189905,0.020008353,8.8879679,9.069579,12.1712927,9.6668283,9.9458865,9.2871603,0.011225143,0.021697997,0.011683371,0.023187438,0.008189905,0.020008353,0.001262959,0.002392393,0.000959912,0.00239866,0.000823446,0.00215441,0.001665297
12,1500,0.2117446,0.5591456,0.3299137,0.9026831,0.2786591,0.5973471,0.007724297,0.010509459,0.011573553,0.032416866,0.012295486,0.020034093,8.8677446,9.0431456,12.1579135,9.6836831,9.9506591,9.2843471,0.007724297,0.010509459,0.011573338,0.032416866,0.012295486,0.020034093,,,,,,,
13,500,0.1519678,0.1704595,0.1790424,0.2727065,0.0794108,0.2573661,0.008552469,0.009309969,0.0085835,0.017848462,0.004186685,0.005189978,10.5579678,10.7334595,8.6940424,9.1007064,11.9234107,9.3973661,0.008552469,0.009309969,0.0085835,0.017848431,0.004186494,0.005189978,,,,,,,
13,1000,0.1590413,0.171227,0.1763235,0.2677769,0.0755559,0.2640365,0.00919135,0.009639627,0.007993658,0.017205907,0.002290586,0.014408955,10.5650413,10.734227,8.6913235,9.0957769,11.9195559,9.4040365,0.00919135,0.009639627,0.007993658,0.017205907,0.002290586,0.014408955,0.000869978,0.000898027,0.000919728,0.001891637,0.00019217,0.00153221,0.001050625
13,1500,0.165074,0.1724582,0.1823762,0.2705329,0.080214,0.2480413,0.008456534,0.00568184,0.005827188,0.011137125,0.003128956,0.005494029,10.571074,10.7354582,8.6973762,9.0985329,11.924214,9.3880413,0.008456534,0.00568184,0.005827188,0.011137125,0.003128956,0.005494029,,,,,,,
