"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)",VarCoeff,,,,,,
23,1500,0.1067147,0.1120707,0.0468289,0.1159394,0.0425294,0.108359,0.004518308,0.006821641,0.002693828,0.007747356,0.00169233,0.002904199,10.7167146,10.3460707,8.6118289,10.3659394,11.9175294,8.843359,0.0045184,0.006821641,0.002693828,0.007747356,0.00169233,0.002904199,,,,,,,
24,500,5.7779306,17.2621767,4.2529807,19.3786575,3.5701689,10.9098769,0.076019217,0.31953273,0.078391159,0.650439629,0.08395519,0.199736729,15.5429306,29.3721767,15.0189806,29.9096575,13.0071689,23.6598769,0.076019217,0.31953273,0.078391106,0.650439629,0.08395519,0.199736729,,,,,,,
24,1000,6.3169003,20.4582812,4.3728656,21.8955866,3.717783,12.4982028,0.147153536,0.264456659,0.117396958,0.591013224,0.062938968,0.292725465,16.0819003,32.5682812,15.1388656,32.4265866,13.154783,25.2482028,0.147153536,0.264456659,0.117396958,0.591013224,0.062938968,0.292725465,0.009150258,0.008120068,0.007754673,0.018226193,0.004784493,0.011593913,0.009938266
24,1500,6.5266503,22.7915144,4.5123666,23.528306,3.7095006,13.5970263,0.108806169,0.411064085,0.08637288,0.397197031,0.041891055,0.165531912,16.2916503,34.9015144,15.2783665,34.059306,13.1465005,26.3470263,0.108806169,0.411064085,0.086372804,0.397197031,0.041891075,0.165531912,,,,,,,
25,500,0.030872,0.0335576,0.1215861,0.146229,0.029277,0.0553056,0.002058069,0.004627179,0.00671524,0.009201485,0.001385409,0.004287526,8.970872,8.2685576,12.340586,9.317229,9.326277,8.2113056,0.002058069,0.004627179,0.00671536,0.009201485,0.001385409,0.004287526,,,,,,,
25,1000,0.030749,0.0314278,0.1208489,0.1492164,0.0278775,0.0518411,0.001587799,0.001761443,0.009690986,0.010748151,0.001236292,0.001651964,8.970749,8.2664277,12.3398489,9.3202164,9.3248775,8.2078411,0.001587799,0.001761353,0.009690986,0.010748151,0.001236292,0.001651964,0.000176997,0.000213073,0.000785341,0.001153208,0.00013258,0.000201267,0.000443744
25,1500,0.0294863,0.0331952,0.1194205,0.1371819,0.026386,0.0558989,0.001162054,0.002411151,0.010124969,0.00654393,0.001327407,0.003578401,8.9694862,8.2681952,12.3384204,9.3081819,9.323386,8.2118989,0.001162018,0.002411151,0.010124958,0.00654393,0.001327407,0.003578401,,,,,,,
26,500,0.7069992,1.6622364,0.8159375,2.1763809,0.6659989,1.7662384,0.033172087,0.07064894,0.03744931,0.043715986,0.021876538,0.044965947,11.1759992,11.6462364,13.4879375,12.9733809,10.4319989,10.0002384,0.033172087,0.07064894,0.03744931,0.043715986,0.021876538,0.044965947,,,,,,,
26,1000,0.7034098,1.6595951,0.800337,2.17566,0.6617617,1.7471285,0.033980462,0.036506906,0.043113805,0.068326898,0.03522962,0.032939091,11.1724097,11.6435951,13.472337,12.97266,10.4277617,9.9811285,0.033980592,0.036506906,0.043113805,0.068326898,0.03522962,0.032939091,0.003041474,0.003135364,0.003200173,0.005266992,0.003378445,0.003300137,0.003553764
26,1500,0.705479,1.6621401,0.7871986,2.1552716,0.6522035,1.7728658,0.038219202,0.048025842,0.021622766,0.054352345,0.027944534,0.041564786,11.174479,11.64614,13.4591986,12.9522716,10.4182035,10.0068658,0.038219202,0.0480257,0.021622766,0.054352345,0.027944534,0.041564786,,,,,,,
27,500,4.5111354,8.3340958,0.9479358,5.0977017,0.8527738,3.3446619,0.101079637,0.094970324,0.037897445,0.127790551,0.036706842,0.075224845,14.6821352,20.2870958,11.5879358,14.5977017,12.0407738,14.4376619,0.101079607,0.094970324,0.037897445,0.127790551,0.036706842,0.075224845,,,,,,,
27,1000,5.1407512,9.6250196,0.9337026,5.9195873,0.8464194,3.5736933,0.0855991,0.223368522,0.026994467,0.38553446,0.042240622,0.09167653,15.3117512,21.5780196,11.5737026,15.4195873,12.0344194,14.6666933,0.0855991,0.223368522,0.026994467,0.38553446,0.042240622,0.09167653,0.005590419,0.010351669,0.002332397,0.025002904,0.003509984,0.006250661,0.008839672
27,1500,5.6084636,10.2216059,0.916132,6.0811358,0.8378378,3.7513028,0.124090863,0.153108099,0.044968021,0.122420465,0.025714481,0.094908191,15.7794636,22.1746058,11.556132,15.5811357,12.0258378,14.8443028,0.124090863,0.153107999,0.044968021,0.122420593,0.025714481,0.094908191,,,,,,,
28,500,0.0693831,0.3191804,0.0931732,0.3950252,0.0456254,0.3523643,0.003630823,0.015266398,0.003694256,0.016196399,0.003074181,0.015317199,9.3033831,10.1311804,9.9991732,11.3640252,8.8416254,10.1343643,0.003630823,0.015266398,0.003694256,0.016196399,0.003074181,0.015317199,,,,,,,
28,1000,0.0690119,0.316345,0.0918781,0.4080431,0.0492318,0.3537917,0.003611912,0.017594055,0.006044046,0.018692121,0.00274632,0.017420055,9.3030119,10.128345,9.9978781,11.377043,8.8452318,10.1357917,0.003611912,0.017594055,0.006044046,0.018692239,0.00274632,0.017420055,0.000388252,0.001737111,0.000604533,0.001642979,0.000310486,0.001718667,0.001067005
28,1500,0.0660809,0.3107181,0.0962948,0.3929481,0.0476468,0.3401921,0.002220632,0.017716111,0.006436067,0.009472313,0.003783736,0.010342157,9.3000809,10.1227181,10.0022948,11.361948,8.8436468,10.1221921,0.002220632,0.017716111,0.006436067,0.009472142,0.003783736,0.010342157,,,,,,,
29,500,0.2323113,0.4506402,0.2745049,0.5492217,0.2116159,0.4411457,0.00874175,0.027082777,0.012178642,0.024143759,0.01325693,0.022115008,10.0133113,9.8566402,9.4925049,9.6902217,11.6496159,8.7541457,0.00874175,0.027082777,0.012178642,0.024143759,0.01325693,0.022115008,,,,,,,
29,1000,0.2242737,0.455349,0.2706912,0.5580207,0.2027075,0.4392525,0.008682426,0.015884422,0.01276275,0.014759391,0.010363185,0.015518785,10.0052737,9.861349,9.4886912,9.6990207,11.6407075,8.7522525,0.008682426,0.015884422,0.01276275,0.014759391,0.010363185,0.015518785,0.000867785,0.001610776,0.001345049,0.00152174,0.000890254,0.001773119,0.001334787
29,1500,0.2244096,0.4562884,0.2658609,0.5587416,0.2002086,0.4280003,0.00857218,0.015639132,0.014035582,0.019278113,0.008348376,0.018600436,10.0054096,9.8622884,9.4838609,9.6997416,11.6382086,8.7410003,0.00857218,0.015639132,0.014035582,0.019278113,0.008348376,0.018600436,,,,,,,
30,500,0.0113969,0.0123965,0.0246487,0.0257085,0.0025519,0.0092187,0.000390847,0.000883883,0.00185991,0.001911139,0.000290692,0.000691356,9.8243969,12.9033965,8.8056487,8.5887085,11.1895519,11.7902187,0.000390847,0.000883883,0.00185991,0.001911139,0.000290692,0.000691356,,,,,,,
30,1000,0.0103177,0.0118278,0.0245006,0.0257995,0.002669,0.0092668,0.00083493,0.000741099,0.001163315,0.001638272,0.00037927,0.000528569,9.8233177,12.9028278,8.8055006,8.5887995,11.1896689,11.7902668,0.00083493,0.000741099,0.001163315,0.001638272,0.000378987,0.000528569,8.49947E-05,5.74369E-05,0.000132112,0.000190745,3.38694E-05,4.4831E-05,9.06649E-05
30,1500,0.0110478,0.0115624,0.023768,0.025888,0.002396,0.0103978,0.001386665,0.001191787,0.000887062,0.001588051,0.0002441,0.001021675,9.8240478,12.9025624,8.804768,8.588888,11.189396,11.7913978,0.001386665,0.001191787,0.000887062,0.001588051,0.0002441,0.001021675,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002292541,0.002710703,0.001436231,0.003500799,0.00139953,0.002623122,
