,"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)"
0,1.0,500.0,0.017155499999999997,0.0221913,0.0527848,0.06993760000000002,0.05555790000000001,0.011195099999999998,0.0012165823030111848,0.0014156278583488436,0.002575725347677166,0.0026386647380825033,0.0016077865702746603,0.0006909094570041563,11.4551555,10.569191300000002,9.2407848,9.6639376,9.4925579,9.620195099999998,0.0012165823030108249,0.0014156278583486231,0.002575725347676687,0.002638664738082741,0.0016077865702746282,0.0006909094570040238
3,2.0,500.0,2.3727128,2.8956810000000006,1.5938739000000002,5.230258399999999,1.7898856000000003,5.3424021999999995,0.05567515819824852,0.041416632670676835,0.024425326284412234,0.05283839360456673,0.0349191838876251,0.0656112605084761,12.5907128,13.613681,12.233873900000003,14.886258400000003,11.2428856,16.5144022,0.055675158198248406,0.041416632670676336,0.024425326284412185,0.0528383936045667,0.03491918388762547,0.06561126050847577
6,3.0,500.0,0.0912222,0.09867229999999999,0.1214875,0.13723810000000003,0.09526439999999999,0.1622749,0.0035598576063907077,0.00739537350946147,0.004746789728039593,0.004793238906116727,0.004205134618006364,0.011114557935428641,9.403222099999997,9.942672299999998,9.9344875,12.246238100000001,14.283264400000002,9.256274900000001,0.003559816426290964,0.0073953735094616,0.004746789728039558,0.004793238906116878,0.004205134618005438,0.01111455793542926
9,4.0,500.0,0.0266224,0.026349499999999998,0.0256341,0.0231009,0.027217200000000004,0.0234328,0.0012219731948323943,0.01172486713736616,0.0016050683924507538,0.0009021314821638316,0.0012461068083345736,0.001466096768065919,8.9636223,10.948349499999999,9.244634099999999,10.1021009,9.183217200000001,10.273432800000002,0.0012218323261941467,0.011724867137366318,0.0016050683924505812,0.0009021314821636646,0.0012461068083345695,0.0014660967680658768
12,5.0,500.0,0.6163958,0.5747788,0.7784671000000001,0.9286007,0.7042598,0.9569905000000001,0.006087375438835146,0.01640237509766327,0.014171722693448385,0.024042175211490317,0.02019151384341671,0.013472100151795202,10.601395700000001,11.683778799999999,10.8414671,11.600600700000001,11.985259799999998,10.5659905,0.006087277699340655,0.01640237509766315,0.014171722693448172,0.024042175211490123,0.020191513843416803,0.013472100151794996
15,6.0,500.0,0.41119000000000006,1.5294803,0.4016681999999999,1.5606616000000002,0.40529669999999995,1.5398638999999998,0.016272472590919383,0.027657694762338095,0.007068517238824241,0.04642253228575775,0.016808002684237454,0.024727954390167832,10.45819,12.8414803,11.1516682,10.3416616,9.624296699999999,10.6958639,0.016272472590919216,0.027657694762338113,0.0070685172388239344,0.04642253228575804,0.016808002684237527,0.024727954390167783
18,7.0,500.0,0.0101417,0.0068093,0.023138899999999997,0.0176567,0.0132988,0.0176591,0.0007068646027823619,0.0006803139879660142,0.0014291198884472764,0.014205650222124059,0.0006798432499072451,0.0017191063860816367,9.0261417,9.381809299999999,9.976138899999999,8.908656700000002,8.670298800000001,9.204659099999999,0.0007068646027821776,0.0006803139879658628,0.0014291198884470223,0.014205650222124238,0.0006798432499074413,0.0017191063860818832
21,8.0,500.0,9.7273194,11.849264799999998,4.740376299999999,12.9025566,8.3428184,18.404176799999995,0.18263333991738162,0.12171858881480108,0.046797157805552485,0.09987141094227124,0.058793797706144894,0.08591214051808928,23.4923194,22.724264799999997,13.241376299999999,24.9495566,18.311818400000003,29.373176700000005,0.18263333991738112,0.12171858881480084,0.04679715780555189,0.09987141094227131,0.058793797706145484,0.08591205619837716
24,9.0,500.0,320.35077559999996,494.117666,40.19361859999999,387.76863560000004,36.14967210000001,419.01889330000006,44.69278785263342,4.34567549978937,1.1690761168773114,1.9308136033482246,0.6246117463138299,2.7005326634079263,350.3507755999999,515.430666,57.53561860000001,407.0026355,52.1346721,436.34689319999995,44.69278785263342,4.345675499789379,1.1690761168773123,1.930813692773782,0.6246117463138279,2.7005325750388876
27,10.0,500.0,54.1481792,446.4756189,17.7840556,203.039657,18.0332457,272.1470964,0.9989770250049461,4.353648918336562,0.37657295045809047,2.1666039614304173,0.2800228395363692,1.2214173353692253,65.10117919999999,456.3346189,31.846055599999993,216.711657,30.7832457,285.17909640000005,0.9989770250049441,4.35364891833657,0.3765729504580887,2.1666039614304253,0.2800228395363692,1.2214173353692346
